"E","Ssqrd","Sz","mx","my"
-2.4283273008041437,20,4.0,3,1
-2.2473538161555533,20,4.0,3,1
-2.0901406776203473,20,4.0,3,1
-1.8204725015911023,20,4.0,3,1
-3.666622989978466,20,4.0,3,2
-2.8838280593105248,20,4.0,3,2
-2.41663817103254,20,4.0,3,2
-2.1970850621379268,20,4.0,3,2
-1.9082609065306013,20,4.0,3,2
-1.6842878976573603,20,4.0,3,2
-3.76147359373194,20,4.0,3,3
-2.610373675371642,20,4.0,3,3
-2.428327300804136,20,4.0,3,3
-2.2473538161555497,20,4.0,3,3
-2.0901406776203393,20,4.0,3,3
-1.820472501601133,20,4.0,3,3
-5.6172795032965865,20,3.0,0,0
-4.739775031267778,12,3.0,0,0
-4.674402007698519,12,3.0,0,0
-4.569367847116619,12,3.0,0,0
-4.29706725200635,12,3.0,0,0
-4.255412089591069,12,3.0,0,0
-5.929058840067616,12,3.0,0,1
-4.939236977854356,12,3.0,0,1
-4.551340093373008,12,3.0,0,1
-4.243874658905111,12,3.0,0,1
-4.235384723704192,12,3.0,0,1
-4.004229388711506,20,3.0,0,1
-5.864920805414815,12,3.0,0,2
-5.034979862657984,12,3.0,0,2
-4.9330637058279185,12,3.0,0,2
-4.569367847116605,12,3.0,0,2
-4.438273102535219,12,3.0,0,2
-3.880275510791412,12,3.0,0,2
-5.929058840067629,12,3.0,0,3
-4.939236977854383,12,3.0,0,3
-4.551340093373002,12,3.0,0,3
-4.24387465890538,12,3.0,0,3
-4.235384723700376,12,3.0,0,3
-4.004229388736612,20,3.0,0,3
-5.929058840067623,12,3.0,1,0
-4.939236977854342,12,3.0,1,0
-4.551340093373031,12,3.0,1,0
-4.243874658906105,12,3.0,1,0
-4.235384723705076,12,3.0,1,0
-4.004229388928703,20,3.0,1,0
-5.864920805414834,12,3.0,1,1
-4.933063705827898,12,3.0,1,1
-4.739775031267761,12,3.0,1,1
-4.438273102535229,12,3.0,1,1
-3.9845310739754383,12,3.0,1,1
-3.8802755107025027,12,3.0,1,1
-6.148869021330219,12,3.0,1,2
-4.939236977854362,12,3.0,1,2
-4.584088952253217,12,3.0,1,2
-4.551340093373021,12,3.0,1,2
-4.235384723705058,12,3.0,1,2
-3.986428246570214,12,3.0,1,2
-5.864920805414811,12,3.0,1,3
-4.933063705827909,12,3.0,1,3
-4.739775031267775,12,3.0,1,3
-4.438273102535226,12,3.0,1,3
-3.9845310739766133,12,3.0,1,3
-3.880275510753101,12,3.0,1,3
-5.864920805414816,12,3.0,2,0
-5.034979862658004,12,3.0,2,0
-4.933063705827901,12,3.0,2,0
-4.5693678471166095,12,3.0,2,0
-4.438273102535242,12,3.0,2,0
-3.880275510793299,12,3.0,2,0
-6.148869021330188,12,3.0,2,1
-4.939236977854375,12,3.0,2,1
-4.584088952253233,12,3.0,2,1
-4.55134009337302,12,3.0,2,1
-4.235384723705054,12,3.0,2,1
-3.9864282468269288,12,3.0,2,1
-7.836537573479838,12,3.0,2,2
-5.034979862658007,12,3.0,2,2
-4.674402007698499,12,3.0,2,2
-4.3582940989125305,12,3.0,2,2
-4.255412089460334,12,3.0,2,2
-4.221828323880408,12,3.0,2,2
-6.14886902133019,12,3.0,2,3
-4.93923697785435,12,3.0,2,3
-4.584088952253219,12,3.0,2,3
-4.5513400933730095,12,3.0,2,3
-4.2353847237050655,12,3.0,2,3
-3.986428246786359,12,3.0,2,3
-5.929058840067632,12,3.0,3,0
-4.93923697785436,12,3.0,3,0
-4.5513400933730335,12,3.0,3,0
-4.243874658902115,12,3.0,3,0
-4.235384723700233,12,3.0,3,0
-4.004229388776155,20,3.0,3,0
-5.864920805414811,12,3.0,3,1
-4.93306370582791,12,3.0,3,1
-4.739775031267777,12,3.0,3,1
-4.438273102535227,12,3.0,3,1
-3.984531073976352,12,3.0,3,1
-3.8802755105247986,12,3.0,3,1
-6.1488690213302,12,3.0,3,2
-4.939236977854362,12,3.0,3,2
-4.584088952253221,12,3.0,3,2
-4.551340093373004,12,3.0,3,2
-4.235384723705066,12,3.0,3,2
-3.9864282462941105,12,3.0,3,2
-5.864920805414815,12,3.0,3,3
-4.933063705827894,12,3.0,3,3
-4.7397750312677625,12,3.0,3,3
-4.438273102535235,12,3.0,3,3
-3.984531073976525,12,3.0,3,3
-3.880275510052823,12,3.0,3,3
-9.517687983937297,6,2.0,0,0
-6.776769498134169,6,2.0,0,0
-6.231479211714036,6,2.0,0,0
-5.985271207619296,6,2.0,0,0
-5.833264685689448,6,2.0,0,0
-5.7010815027527855,6,2.0,0,0
-7.765674255667705,6,2.0,0,1
-6.263644968561591,6,2.0,0,1
-6.195616553702553,6,2.0,0,1
-6.176941367072662,6,2.0,0,1
-5.929058840067589,12,2.0,0,1
-5.3465387677653196,6,2.0,0,1
-7.477053302195223,6,2.0,0,2
-6.776769498134145,6,2.0,0,2
-6.495975874381858,6,2.0,0,2
-6.45290360906444,6,2.0,0,2
-6.077776461999127,6,2.0,0,2
-5.864920805397667,12,2.0,0,2
-7.765674255667696,6,2.0,0,3
-6.263644968561595,6,2.0,0,3
-6.195616553702564,6,2.0,0,3
-6.176941367072667,6,2.0,0,3
-5.929058840067583,12,2.0,0,3
-5.3465387677750815,6,2.0,0,3
-7.765674255667705,6,2.0,1,0
-6.263644968561582,6,2.0,1,0
-6.195616553702552,6,2.0,1,0
-6.176941367072659,6,2.0,1,0
-5.929058840067608,12,2.0,1,0
-5.346538767768809,6,2.0,1,0
-7.477053302195207,6,2.0,1,1
-6.495975874381838,6,2.0,1,1
-6.371224531297897,6,2.0,1,1
-6.077776461999127,6,2.0,1,1
-5.864920805414729,12,2.0,1,1
-5.577715456000837,6,2.0,1,1
-7.630213162591232,6,2.0,1,2
-6.263644968561589,6,2.0,1,2
-6.195616553701864,6,2.0,1,2
-6.176941367071859,6,2.0,1,2
-6.148869021328637,12,2.0,1,2
-5.588493707488579,6,2.0,1,2
-7.477053302195224,6,2.0,1,3
-6.495975874381861,6,2.0,1,3
-6.3712245312979014,6,2.0,1,3
-6.077776461999111,6,2.0,1,3
-5.86492080541452,12,2.0,1,3
-5.5777154560148015,6,2.0,1,3
-7.477053302195197,6,2.0,2,0
-6.776769498134157,6,2.0,2,0
-6.495975874381857,6,2.0,2,0
-6.45290360906444,6,2.0,2,0
-6.077776461999103,6,2.0,2,0
-5.864920805391759,12,2.0,2,0
-7.630213162591236,6,2.0,2,1
-6.263644968561581,6,2.0,2,1
-6.195616553623692,6,2.0,2,1
-6.176941367060789,6,2.0,2,1
-6.148869021329471,12,2.0,2,1
-5.5884937072719145,6,2.0,2,1
-7.836537573479852,12,2.0,2,2
