"E","Ssqrd","Sz","mx","my"
-6.994896080039571,0,0.0,0,0
-6.735843696892477,0,0.0,0,0
-6.7307905397933805,0,0.0,0,0
-6.20823262607025,6,0.0,0,0
-6.08657314717984,0,0.0,0,0
-6.070060690419395,0,0.0,0,0
-6.33590230201366,0,0.0,0,1
-6.211168211796447,2,0.0,0,1
-6.0385760388609695,0,0.0,0,1
-5.998537939729664,2,0.0,0,1
-5.909247650188498,2,0.0,0,1
-5.905626013169802,0,0.0,0,1
-6.462932589975649,2,0.0,0,2
-6.437587941646709,0,0.0,0,2
-6.203826519105518,0,0.0,0,2
-6.036034423083696,6,0.0,0,2
-6.030296725988429,2,0.0,0,2
-5.972051403449416,2,0.0,0,2
-6.335902302013688,0,0.0,0,3
-6.211168211796442,2,0.0,0,3
-6.038576038860938,0,0.0,0,3
-5.998537939729648,2,0.0,0,3
-5.909247650107076,2,0.0,0,3
-5.905626013649079,0,0.0,0,3
-6.335902302013636,0,0.0,1,0
-6.211168211796441,2,0.0,1,0
-6.038576038860933,0,0.0,1,0
-5.998537939729677,2,0.0,1,0
-5.909247648745725,2,0.0,1,0
-5.905626009758932,0,0.0,1,0
-6.3472528588455726,2,0.0,1,1
-6.304631167435982,0,0.0,1,1
-6.074544948166174,2,0.0,1,1
-6.046941877186305,0,0.0,1,1
-5.971789008281466,0,0.0,1,1
-5.960027907982776,2,0.0,1,1
-6.291307208227856,2,0.0,1,2
-6.211284553362198,2,0.0,1,2
-6.079583315573167,2,0.0,1,2
-5.958011919096921,0,0.0,1,2
-5.947570884448954,2,0.0,1,2
-5.92911812438339,0,0.0,1,2
-6.347252858845587,2,0.0,1,3
-6.3046311674359945,0,0.0,1,3
-6.07454494816617,2,0.0,1,3
-6.046941877186297,0,0.0,1,3
-5.971789008493096,0,0.0,1,3
-5.960027908239088,2,0.0,1,3
-6.462932589975664,2,0.0,2,0
-6.437587941646713,0,0.0,2,0
-6.203826519105493,0,0.0,2,0
-6.036034423083586,6,0.0,2,0
-6.030296725990578,2,0.0,2,0
-5.972051403514591,2,0.0,2,0
-6.291307208227816,2,0.0,2,1
-6.2112845533622165,2,0.0,2,1
-6.079583315573119,2,0.0,2,1
-5.958011919097204,0,0.0,2,1
-5.947570884430966,2,0.0,2,1
-5.929118124380539,0,0.0,2,1
-6.624570963789588,2,0.0,2,2
-6.558785585579538,2,0.0,2,2
-6.504489920426141,0,0.0,2,2
-6.20355307580259,2,0.0,2,2
-6.02255990781637,0,0.0,2,2
-5.9341484517040595,2,0.0,2,2
-6.291307208227842,2,0.0,2,3
-6.211284553362192,2,0.0,2,3
-6.079583315573117,2,0.0,2,3
-5.958011919097047,0,0.0,2,3
-5.947570884449333,2,0.0,2,3
-5.929118124384984,0,0.0,2,3
-6.335902302013667,0,0.0,3,0
-6.211168211796472,2,0.0,3,0
-6.038576038860963,0,0.0,3,0
-5.998537939729699,2,0.0,3,0
-5.90924764920873,2,0.0,3,0
-5.905626011437665,0,0.0,3,0
-6.347252858845559,2,0.0,3,1
-6.304631167436016,0,0.0,3,1
-6.074544948166186,2,0.0,3,1
-6.0469418771862955,0,0.0,3,1
-5.971789008601656,0,0.0,3,1
-5.960027908289079,2,0.0,3,1
-6.291307208227873,2,0.0,3,2
-6.211284553362217,2,0.0,3,2
-6.079583315573136,2,0.0,3,2
-5.958011919085658,0,0.0,3,2
-5.94757088440607,2,0.0,3,2
-5.92911812418138,0,0.0,3,2
-6.347252858845574,2,0.0,3,3
-6.304631167435998,0,0.0,3,3
-6.074544948166176,2,0.0,3,3
-6.046941877186303,0,0.0,3,3
-5.971789008533053,0,0.0,3,3
-5.9600279082772865,2,0.0,3,3
-6.20823262607018,6,-1.0,0,0
-6.064667309104035,2,-1.0,0,0
-6.018489402981501,6,-1.0,0,0
-5.9790556801265575,6,-1.0,0,0
-5.945482620153219,2,-1.0,0,0
-5.8066469544461015,2,-1.0,0,0
-6.211168211796476,2,-1.0,0,1
-5.998537939729652,2,-1.0,0,1
-5.909247650206171,2,-1.0,0,1
-5.832389790855801,2,-1.0,0,1
-5.806018489352759,2,-1.0,0,1
-5.805209987766182,6,-1.0,0,1
-6.46293258997571,2,-1.0,0,2
-6.036034423083768,6,-1.0,0,2
-6.030296725990656,2,-1.0,0,2
-5.972051403724979,2,-1.0,0,2
-5.746245736677276,6,-1.0,0,2
-5.659265669253924,2,-1.0,0,2
-6.211168211796475,2,-1.0,0,3
-5.9985379397296885,2,-1.0,0,3
-5.909247650206169,2,-1.0,0,3
-5.83238979085581,2,-1.0,0,3
-5.806018489352974,2,-1.0,0,3
-5.8052099887704065,6,-1.0,0,3
-6.211168211796476,2,-1.0,1,0
-5.998537939729697,2,-1.0,1,0
-5.90924765020614,2,-1.0,1,0
-5.8323897908558004,2,-1.0,1,0
-5.806018489363055,2,-1.0,1,0
-5.805209988761687,6,-1.0,1,0
-6.347252858845595,2,-1.0,1,1
-6.074544948166158,2,-1.0,1,1
-5.960027908343325,2,-1.0,1,1
-5.931225636968383,2,-1.0,1,1
-5.714787896649092,2,-1.0,1,1
-5.7022951123431005,2,-1.0,1,1
-6.291307208227856,2,-1.0,1,2
-6.2112845533622165,2,-1.0,1,2
-6.079583315573133,2,-1.0,1,2
-5.947570884451717,2,-1.0,1,2
-5.82122528296852,6,-1.0,1,2
-5.788376754002533,2,-1.0,1,2
-6.347252858845621,2,-1.0,1,3
-6.074544948166162,2,-1.0,1,3
-5.960027908343302,2,-1.0,1,3
-5.93122563696835,2,-1.0,1,3
-5.714787896345048,2,-1.0,1,3
-5.702295112909182,2,-1.0,1,3
-6.462932589975708,2,-1.0,2,0
-6.036034423083767,6,-1.0,2,0
-6.030296725990665,2,-1.0,2,0
-5.972051403724964,2,-1.0,2,0
-5.746245736677277,6,-1.0,2,0
-5.659265669108149,2,-1.0,2,0
-6.291307208227867,2,-1.0,2,1
-6.21128455336218,2,-1.0,2,1
-6.07958331557311,2,-1.0,2,1
-5.947570884451722,2,-1.0,2,1
-5.821225282967512,6,-1.0,2,1
-5.7883767541261655,2,-1.0,2,1
-6.624570963789581,2,-1.0,2,2
-6.558785585579542,2,-1.0,2,2
-6.203553075802611,2,-1.0,2,2
-5.9341484527434325,2,-1.0,2,2
-5.847313747351736,2,-1.0,2,2
-5.747698402186782,6,-1.0,2,2
-6.291307208227864,2,-1.0,2,3
-6.211284553362195,2,-1.0,2,3
-6.079583315573162,2,-1.0,2,3
-5.94757088445173,2,-1.0,2,3
-5.821225282968,6,-1.0,2,3
-5.788376753700089,2,-1.0,2,3
-6.211168211796449,2,-1.0,3,0
-5.998537939729657,2,-1.0,3,0
-5.909247650206165,2,-1.0,3,0
-5.832389790855834,2,-1.0,3,0
-5.806018489364292,2,-1.0,3,0
-5.805209988758873,6,-1.0,3,0
-6.347252858845619,2,-1.0,3,1
-6.074544948166193,2,-1.0,3,1
-5.960027908343328,2,-1.0,3,1
-5.931225636968385,2,-1.0,3,1
-5.714787896474292,2,-1.0,3,1
-5.7022951115308125,2,-1.0,3,1
-6.29130720822784,2,-1.0,3,2
-6.211284553362179,2,-1.0,3,2
-6.079583315573109,2,-1.0,3,2
-5.947570884451718,2,-1.0,3,2
-5.821225282967489,6,-1.0,3,2
-5.7883767539878885,2,-1.0,3,2
-6.347252858845628,2,-1.0,3,3
-6.074544948166179,2,-1.0,3,3
-5.960027908343334,2,-1.0,3,3
-5.9312256369683904,2,-1.0,3,3
-5.714787896647401,2,-1.0,3,3
-5.702295113057528,2,-1.0,3,3
-6.208232626070179,6,-2.0,0,0
-6.018489402981479,6,-2.0,0,0
-5.97905568012656,6,-2.0,0,0
-5.707616151434574,6,-2.0,0,0
-5.6297585958088305,6,-2.0,0,0
-5.2475723806915635,6,-2.0,0,0
-5.805209988772999,6,-2.0,0,1
-5.667305398929579,6,-2.0,0,1
-5.426440365804441,6,-2.0,0,1
-5.332616071591003,6,-2.0,0,1
-5.267920893256385,6,-2.0,0,1
-5.194244520296129,6,-2.0,0,1
-6.036034423083773,6,-2.0,0,2
-5.746245736677282,6,-2.0,0,2
-5.5394913375409285,6,-2.0,0,2
-5.487830497559705,6,-2.0,0,2
-5.478412632800083,6,-2.0,0,2
-5.23558115212892,6,-2.0,0,2
-5.805209988772988,6,-2.0,0,3
-5.667305398929592,6,-2.0,0,3
-5.4264403658044555,6,-2.0,0,3
-5.332616071591025,6,-2.0,0,3
-5.267920893256281,6,-2.0,0,3
-5.194244520602045,6,-2.0,0,3
-5.805209988772993,6,-2.0,1,0
-5.667305398929563,6,-2.0,1,0
-5.426440365804445,6,-2.0,1,0
-5.332616071591015,6,-2.0,1,0
-5.267920893256375,6,-2.0,1,0
-5.194244520607201,6,-2.0,1,0
-5.649102985339716,6,-2.0,1,1
-5.460581900561127,6,-2.0,1,1
-5.401265465328567,6,-2.0,1,1
-5.191610801591003,6,-2.0,1,1
-5.084599392338841,6,-2.0,1,1
-4.9542663802302185,6,-2.0,1,1
-5.821225282968856,6,-2.0,1,2
-5.513790893994295,6,-2.0,1,2
-5.380875572307162,6,-2.0,1,2
-5.301274310925518,6,-2.0,1,2
-5.126458807522873,12,-2.0,1,2
-5.1060516446927675,6,-2.0,1,2
-5.649102985339712,6,-2.0,1,3
-5.460581900561125,6,-2.0,1,3
-5.401265465328562,6,-2.0,1,3
-5.191610801591002,6,-2.0,1,3
-5.084599392338805,6,-2.0,1,3
-4.954266381159367,6,-2.0,1,3
-6.036034423083741,6,-2.0,2,0
-5.7462457366772774,6,-2.0,2,0
-5.539491337540942,6,-2.0,2,0
-5.487830497559341,6,-2.0,2,0
-5.478412632560746,6,-2.0,2,0
-5.235581152169539,6,-2.0,2,0
-5.8212252829688325,6,-2.0,2,1
-5.513790893994278,6,-2.0,2,1
-5.380875572307181,6,-2.0,2,1
-5.301274310925539,6,-2.0,2,1
-5.126458806908399,12,-2.0,2,1
-5.1060516452544835,6,-2.0,2,1
-5.7476984022037545,6,-2.0,2,2
-5.5586542465220035,6,-2.0,2,2
-5.517783247206163,6,-2.0,2,2
-5.493518273758673,12,-2.0,2,2
-5.312551152728598,6,-2.0,2,2
-5.196439913988391,12,-2.0,2,2
-5.821225282968824,6,-2.0,2,3
-5.513790893994323,6,-2.0,2,3
-5.380875572307174,6,-2.0,2,3
-5.301274310925535,6,-2.0,2,3
-5.126458807477779,12,-2.0,2,3
-5.106051645105216,6,-2.0,2,3
-5.805209988773009,6,-2.0,3,0
-5.667305398929589,6,-2.0,3,0
-5.426440365804473,6,-2.0,3,0
-5.332616071591052,6,-2.0,3,0
-5.2679208932564405,6,-2.0,3,0
-5.1942445206041175,6,-2.0,3,0
-5.6491029853397245,6,-2.0,3,1
-5.460581900561095,6,-2.0,3,1
-5.401265465328547,6,-2.0,3,1
-5.191610801590996,6,-2.0,3,1
-5.084599392338841,6,-2.0,3,1
-4.954266382625198,6,-2.0,3,1
-5.821225282968816,6,-2.0,3,2
-5.513790893994284,6,-2.0,3,2
-5.380875572307206,6,-2.0,3,2
-5.301274310925518,6,-2.0,3,2
-5.126458807357897,12,-2.0,3,2
