"E","Sz","mx","my"
-14.011534349431555,0.0,4,3
-13.501294520217996,0.0,4,3
-13.2626321588509,0.0,4,3
-12.960081147918704,0.0,4,3
-12.8737609507922,0.0,4,3
-12.598622830336419,0.0,4,3
-14.69001821065927,0.0,5,0
-13.975322315289237,0.0,5,0
-13.475372748928097,0.0,5,0
-12.866245824335282,0.0,5,0
-12.77269694061113,0.0,5,0
-12.765134749807373,0.0,5,0
-14.00177370443717,0.0,5,1
-13.272338497032356,0.0,5,1
-13.238393974843806,0.0,5,1
-13.18748342155759,0.0,5,1
-12.945126839398911,0.0,5,1
-12.560539855281322,0.0,5,1
-14.092100418288144,0.0,5,2
-13.494473976060126,0.0,5,2
-13.243889287077485,0.0,5,2
-13.23226840701969,0.0,5,2
-12.84345675651927,0.0,5,2
-12.814875074137726,0.0,5,2
-14.001773704437205,0.0,5,3
-13.272338497032392,0.0,5,3
-13.238393974843822,0.0,5,3
-13.187483421557614,0.0,5,3
-12.945126839398954,0.0,5,3
-12.560539853024235,0.0,5,3
-15.310907084431129,-1.0,0,0
-13.73634634435145,-1.0,0,0
-12.866095894078889,-1.0,0,0
-12.862844024510457,-1.0,0,0
-12.527598432910798,-1.0,0,0
-12.368740375919407,-1.0,0,0
-14.244165398081824,-1.0,0,1
-13.489430988000205,-1.0,0,1
-13.276395390914965,-1.0,0,1
-12.58103736300751,-1.0,0,1
-12.417911601384988,-1.0,0,1
-12.28796155215905,-1.0,0,1
-14.018357691958043,-1.0,0,2
-13.29727335246775,-1.0,0,2
-13.134636264129913,-1.0,0,2
-12.550431290446653,-1.0,0,2
-12.52495723201199,-1.0,0,2
-12.376221782940979,-1.0,0,2
-14.244165398081847,-1.0,0,3
-13.489430988000175,-1.0,0,3
-13.276395390914946,-1.0,0,3
-12.58103736300751,-1.0,0,3
-12.417911601385041,-1.0,0,3
-12.287961551186552,-1.0,0,3
-14.690018210659314,-1.0,1,0
-13.97532231528931,-1.0,1,0
-12.866245824335339,-1.0,1,0
-12.772696942208372,-1.0,1,0
-12.4754368506231,-1.0,1,0
-12.384805941021874,-1.0,1,0
-14.001773704437158,-1.0,1,1
-13.272338497032337,-1.0,1,1
-13.18748342155767,-1.0,1,1
-12.5605398557261,-1.0,1,1
-12.471788538044192,-1.0,1,1
-12.471147113930726,-1.0,1,1
-14.092100418288217,-1.0,1,2
-13.243889287077492,-1.0,1,2
-13.232268407019706,-1.0,1,2
-12.843456756680247,-1.0,1,2
-12.814875074663735,-1.0,1,2
-12.39078584835717,-1.0,1,2
-14.00177370443724,-1.0,1,3
-13.272338497032388,-1.0,1,3
