"E","Ssqrd","Sz","mx","my"
-6.547844699728375,4,0.0,0,0
-6.068925246875684,7,0.0,0,0
-5.948368817619647,1,0.0,0,0
-5.809388848461465,3,0.0,0,0
-5.49940406755974,7,0.0,0,0
-5.319166644609693,3,0.0,0,0
-5.640982307301243,5,0.0,0,1
-5.345566547222362,6,0.0,0,1
-5.234980914286921,8,0.0,0,1
-4.975105764887975,4,0.0,0,1
-4.974370929241858,4,0.0,0,1
-4.868977169869407,4,0.0,0,1
-5.372436477285117,11,0.0,0,2
-5.372436477285097,11,0.0,0,2
-5.173930327431743,4,0.0,0,2
-5.138754942209373,5,0.0,0,2
-5.038125119317053,5,0.0,0,2
-4.964539707416315,9,0.0,0,2
-5.640982307301264,5,0.0,0,3
-5.345566547222331,6,0.0,0,3
-5.23498091428751,8,0.0,0,3
-4.975105805239319,4,0.0,0,3
-4.974370915577284,4,0.0,0,3
-4.8689771952211744,4,0.0,0,3
-5.593202578953483,6,0.0,1,0
-5.35574602028696,6,0.0,1,0
-5.240689474117812,8,0.0,1,0
-5.0066593606265215,5,0.0,1,0
-4.995838463359295,4,0.0,1,0
-4.930913659750816,4,0.0,1,0
-5.129837856594197,3,0.0,1,1
-5.118607160289527,3,0.0,1,1
-5.03356654400215,6,0.0,1,1
-5.003780058736872,4,0.0,1,1
-4.9558015315381985,8,0.0,1,1
-4.82519125298737,7,0.0,1,1
-5.566583234760335,6,0.0,1,2
-5.125285542379137,7,0.0,1,2
-5.071797755143304,9,0.0,1,2
-5.065148489417539,6,0.0,1,2
-5.012561176539446,7,0.0,1,2
-4.95561593708979,5,0.0,1,2
-5.500049487094208,4,0.0,1,3
-5.210172685812518,6,0.0,1,3
-5.120983743767934,8,0.0,1,3
-4.97859565194976,3,0.0,1,3
-4.94915692205437,3,0.0,1,3
-4.841820580791876,4,0.0,1,3
-5.455129097097672,11,0.0,2,0
-5.319806505915663,3,0.0,2,0
-5.284347392913221,3,0.0,2,0
-5.0203169692303735,11,0.0,2,0
-5.00434523776279,11,0.0,2,0
-4.957554700359539,6,0.0,2,0
-5.63223471313378,6,0.0,2,1
-5.246572361078026,6,0.0,2,1
-5.128213734683474,13,0.0,2,1
-5.057203766638458,8,0.0,2,1
-5.039069741571414,8,0.0,2,1
-4.938438651657916,7,0.0,2,1
-5.832795906444197,3,0.0,2,2
-5.726896906410215,1,0.0,2,2
-5.450955441533672,13,0.0,2,2
-5.450955441531208,13,0.0,2,2
-5.3746359662923435,11,0.0,2,2
-5.195598693031719,11,0.0,2,2
-5.632234713133736,6,0.0,2,3
-5.246572361077858,6,0.0,2,3
-5.128213734657498,13,0.0,2,3
-5.057203786508835,8,0.0,2,3
-5.039069770678036,8,0.0,2,3
-4.938439037158176,7,0.0,2,3
-5.59320257895352,6,0.0,3,0
-5.355746020286966,6,0.0,3,0
-5.240689474118296,8,0.0,3,0
-5.006659396678783,5,0.0,3,0
-4.995838520271548,4,0.0,3,0
-4.930911931095733,4,0.0,3,0
-5.50004948709421,4,0.0,3,1
-5.210172685774131,6,0.0,3,1
-5.120983744164505,8,0.0,3,1
-4.978595846026955,3,0.0,3,1
-4.949156889498905,3,0.0,3,1
-4.841819801576516,4,0.0,3,1
-5.566583234760302,6,0.0,3,2
-5.12528554237838,7,0.0,3,2
-5.0717977575896045,9,0.0,3,2
-5.065148488605879,6,0.0,3,2
-5.012561139767452,7,0.0,3,2
-4.9556167499934904,5,0.0,3,2
-5.129837856594249,3,0.0,3,3
-5.118607160291087,3,0.0,3,3
-5.033566543105863,6,0.0,3,3
-5.0037800587824925,4,0.0,3,3
-4.955801531164884,8,0.0,3,3
-4.82519130862422,7,0.0,3,3
-6.103143516188371,12,-1.0,0,0
-5.499100566564252,14,-1.0,0,0
-5.411352770036947,8,-1.0,0,0
-5.2340234533176995,4,-1.0,0,0
-5.234023436042649,4,-1.0,0,0
-5.103239382435246,3,-1.0,0,0
-5.764154698722542,5,-1.0,0,1
-5.344984443800069,8,-1.0,0,1
-5.122461713146686,8,-1.0,0,1
-4.997169857279925,5,-1.0,0,1
-4.938619831948133,5,-1.0,0,1
-4.807731283130267,7,-1.0,0,1
-5.428064682285549,11,-1.0,0,2
-5.024099598393085,8,-1.0,0,2
-5.0108642620018,7,-1.0,0,2
-5.010864260545254,7,-1.0,0,2
-4.991545953606759,6,-1.0,0,2
-4.918622390057238,10,-1.0,0,2
-5.764154698722532,5,-1.0,0,3
-5.344984443800094,8,-1.0,0,3
-5.122461713146613,8,-1.0,0,3
-4.997169845023746,5,-1.0,0,3
-4.938619837058035,5,-1.0,0,3
-4.807729788398661,7,-1.0,0,3
-5.781724221253764,5,-1.0,1,0
-5.317979735856726,7,-1.0,1,0
-5.138593603298703,6,-1.0,1,0
-5.110469884427165,6,-1.0,1,0
-4.981971303053857,5,-1.0,1,0
-4.792903224613741,6,-1.0,1,0
-5.427717020758005,3,-1.0,1,1
-5.013779804976611,6,-1.0,1,1
-5.012242553524677,3,-1.0,1,1
-4.962083328090339,5,-1.0,1,1
-4.927272970216687,4,-1.0,1,1
-4.890413882114471,5,-1.0,1,1
-5.3014777681904794,7,-1.0,1,2
-5.22009956474053,6,-1.0,1,2
-5.100617252240345,11,-1.0,1,2
-5.081219537498624,12,-1.0,1,2
-5.043268493967697,9,-1.0,1,2
-4.86570450909074,5,-1.0,1,2
-5.7873111942701865,5,-1.0,1,3
-5.238960917004283,7,-1.0,1,3
-5.105783281704285,3,-1.0,1,3
-5.072803976773106,9,-1.0,1,3
-4.943911794937058,4,-1.0,1,3
-4.7831694898759585,5,-1.0,1,3
-5.430233364785076,10,-1.0,2,0
-5.133762342444205,12,-1.0,2,0
-5.0414182855000815,10,-1.0,2,0
-5.041418268818288,10,-1.0,2,0
-4.947912550974366,8,-1.0,2,0
-4.947912293922313,8,-1.0,2,0
-5.397132800368634,5,-1.0,2,1
-5.193127124678632,6,-1.0,2,1
-5.182803973910142,8,-1.0,2,1
-5.078760276606775,7,-1.0,2,1
-5.038655506080635,7,-1.0,2,1
-4.859900932233228,9,-1.0,2,1
-5.475036809122389,9,-1.0,2,2
-5.2747854662701155,16,-1.0,2,2
-5.274785465796593,16,-1.0,2,2
-5.148800572783391,7,-1.0,2,2
-5.0715635722966015,6,-1.0,2,2
-4.9504225252934155,6,-1.0,2,2
-5.397132800368628,5,-1.0,2,3
-5.193127124533056,6,-1.0,2,3
-5.182803974021754,8,-1.0,2,3
-5.078760267010891,7,-1.0,2,3
-5.038655493988659,7,-1.0,2,3
-4.8598995685525885,9,-1.0,2,3
-5.78172422125371,5,-1.0,3,0
-5.3179797358567225,7,-1.0,3,0
-5.138593603309303,6,-1.0,3,0
-5.110469884432855,6,-1.0,3,0
-4.981971302953791,5,-1.0,3,0
-4.792902754309359,6,-1.0,3,0
-5.7873111942702,5,-1.0,3,1
-5.238960917003593,7,-1.0,3,1
-5.105783281776053,3,-1.0,3,1
-5.072803977671527,9,-1.0,3,1
-4.943911494256407,4,-1.0,3,1
-4.783170340880307,5,-1.0,3,1
-5.3014777681915985,7,-1.0,3,2
-5.220099564739034,6,-1.0,3,2
-5.100617254886344,11,-1.0,3,2
-5.081219532939735,12,-1.0,3,2
-5.0432684504624765,9,-1.0,3,2
-4.86571084414435,5,-1.0,3,2
-5.427717020757985,3,-1.0,3,3
-5.013779792645581,6,-1.0,3,3
-5.012242543587445,3,-1.0,3,3
-4.9620831406838,5,-1.0,3,3
-4.927273725138782,4,-1.0,3,3
-4.890408745758817,5,-1.0,3,3
-5.905430186859125,6,-2.0,0,0
-5.71254717451689,17,-2.0,0,0
-5.5489628428970255,6,-2.0,0,0
-5.434235240754355,10,-2.0,0,0
-5.077853949531246,7,-2.0,0,0
-4.849668664621859,9,-2.0,0,0
-5.491711195575629,8,-2.0,0,1
-5.1978525074343205,7,-2.0,0,1
-5.010379170891105,9,-2.0,0,1
-4.748391914082874,11,-2.0,0,1
-4.5211146758968725,9,-2.0,0,1
-4.465041197021364,8,-2.0,0,1
-5.292153634096856,9,-2.0,0,2
-5.107419469004208,9,-2.0,0,2
-5.1074194690034265,9,-2.0,0,2
-4.9580016565193485,8,-2.0,0,2
-4.745257650996377,8,-2.0,0,2
-4.745257437672037,8,-2.0,0,2
-5.491711195575627,8,-2.0,0,3
-5.197852507434291,7,-2.0,0,3
-5.010379170891056,9,-2.0,0,3
-4.748391914120921,11,-2.0,0,3
-4.521114749690128,9,-2.0,0,3
