"E","Ssqrd","Sz","mx","my"
-11.364166125235394,2,0.0,0,0
-10.415626875968607,5,0.0,0,0
-10.112740416773415,1,0.0,0,0
-9.925309262296624,3,0.0,0,0
-9.209693670081702,5,0.0,0,0
-8.82838720566253,7,0.0,0,0
-9.627471332851659,3,0.0,0,1
-9.242606974611675,5,0.0,0,1
-8.673169824480496,6,0.0,0,1
-8.566023143198416,3,0.0,0,1
-8.386833102139649,3,0.0,0,1
-8.196056115070673,5,0.0,0,1
-8.983832485866234,4,0.0,0,2
-8.983832485866234,4,0.0,0,2
-8.782743438425538,6,0.0,0,2
-8.602417964340265,4,0.0,0,2
-8.42207943321407,5,0.0,0,2
-8.190993674135676,5,0.0,0,2
-9.627471332851673,3,0.0,0,3
-9.24260697461161,5,0.0,0,3
-8.673169824207802,6,0.0,0,3
-8.5660231434394,3,0.0,0,3
-8.38683290638692,3,0.0,0,3
-8.196058584309236,5,0.0,0,3
-9.411259932920942,4,0.0,1,0
-9.225625889804604,4,0.0,1,0
-8.702912752388555,7,0.0,1,0
-8.598919280565296,4,0.0,1,0
-8.390716486954648,5,0.0,1,0
-8.317966857330832,5,0.0,1,0
-9.023825217675212,3,0.0,1,1
-8.957857322200939,2,0.0,1,1
-8.795220059403174,3,0.0,1,1
-8.502892984849622,6,0.0,1,1
-8.291374372954662,5,0.0,1,1
-8.265263520597717,5,0.0,1,1
-9.327539417742248,3,0.0,1,2
-8.976862470253307,3,0.0,1,2
-8.75032781530942,4,0.0,1,2
-8.423262954125343,5,0.0,1,2
-8.31389976824808,5,0.0,1,2
-8.299940706014414,5,0.0,1,2
-9.594434691938742,3,0.0,1,3
-9.194449656990624,5,0.0,1,3
-8.556780315738424,6,0.0,1,3
-8.526517692802045,4,0.0,1,3
-8.342223955912244,4,0.0,1,3
-8.186008472713961,4,0.0,1,3
-9.062473916410314,4,0.0,2,0
-9.062473916410285,4,0.0,2,0
-8.68867406651319,6,0.0,2,0
-8.493655157272492,5,0.0,2,0
-8.367322192020834,4,0.0,2,0
-8.36732191039117,4,0.0,2,0
-9.725786442079999,3,0.0,2,1
-9.076413609408515,4,0.0,2,1
-8.76810323401223,6,0.0,2,1
-8.47502038636457,5,0.0,2,1
-8.402527980984143,6,0.0,2,1
-8.365158650278646,5,0.0,2,1
-10.575596456207375,1,0.0,2,2
-10.157464066798555,1,0.0,2,2
-9.266403900889127,5,0.0,2,2
-8.881018939264372,5,0.0,2,2
-8.785145955699146,5,0.0,2,2
-8.706484297583966,6,0.0,2,2
-9.725786442080015,3,0.0,2,3
-9.076413609408542,4,0.0,2,3
-8.768103234048205,6,0.0,2,3
-8.475020399319957,5,0.0,2,3
-8.402530557961644,6,0.0,2,3
-8.36515710805396,5,0.0,2,3
-9.411259932920954,4,0.0,3,0
-9.22562588980457,4,0.0,3,0
-8.702912752607373,7,0.0,3,0
-8.598919282904491,4,0.0,3,0
-8.390716458022185,5,0.0,3,0
-8.31796636667849,5,0.0,3,0
-9.594434691938797,3,0.0,3,1
-9.194449656990628,5,0.0,3,1
-8.556780315912754,6,0.0,3,1
-8.526517692789941,4,0.0,3,1
-8.34222387835232,4,0.0,3,1
-8.186006281133789,4,0.0,3,1
-9.327539417742287,3,0.0,3,2
-8.97686247025362,3,0.0,3,2
-8.750327815658672,4,0.0,3,2
-8.423262939411664,5,0.0,3,2
-8.313899883021811,5,0.0,3,2
-8.299940836274798,5,0.0,3,2
-9.023825217675185,3,0.0,3,3
-8.957857322201368,2,0.0,3,3
-8.795220059388985,3,0.0,3,3
-8.502892983280205,6,0.0,3,3
-8.291376946388299,5,0.0,3,3
-8.265266009978072,5,0.0,3,3
-9.845178591356566,10,-1.0,0,0
-9.04601098967537,8,-1.0,0,0
-8.603254965519941,5,-1.0,0,0
-8.603254964929667,5,-1.0,0,0
-8.518536159817517,3,-1.0,0,0
-8.416359416068504,5,-1.0,0,0
-9.861132027732875,5,-1.0,0,1
-8.916103747652306,6,-1.0,0,1
-8.51090078489446,6,-1.0,0,1
-8.364372184460878,5,-1.0,0,1
-8.213317359566977,4,-1.0,0,1
-8.128599956090676,4,-1.0,0,1
-8.668223110112466,7,-1.0,0,2
-8.595190773937475,6,-1.0,0,2
-8.459151904199816,6,-1.0,0,2
-8.459151904199578,6,-1.0,0,2
-8.168206245323306,7,-1.0,0,2
-7.973755255350626,7,-1.0,0,2
-9.861132027732868,5,-1.0,0,3
-8.916103747652203,6,-1.0,0,3
-8.510900784934005,6,-1.0,0,3
-8.364372188415372,5,-1.0,0,3
-8.213317290511467,4,-1.0,0,3
-8.128602973062614,4,-1.0,0,3
-9.803824918335874,4,-1.0,1,0
-9.019694448956354,7,-1.0,1,0
-8.62524570382789,5,-1.0,1,0
-8.323043768088965,7,-1.0,1,0
-8.282488921115702,5,-1.0,1,0
-8.221408240801663,6,-1.0,1,0
-9.611976337788574,3,-1.0,1,1
-8.746773798435095,3,-1.0,1,1
-8.666528314526612,6,-1.0,1,1
-8.39640772748147,4,-1.0,1,1
-8.191988691638802,6,-1.0,1,1
-8.073728228981803,5,-1.0,1,1
-9.053545802082159,4,-1.0,1,2
-8.726409401876486,7,-1.0,1,2
-8.640008181750218,5,-1.0,1,2
-8.472959691872408,6,-1.0,1,2
-8.37649242132844,7,-1.0,1,2
-8.10879483030453,7,-1.0,1,2
-10.085233977550367,3,-1.0,1,3
-9.053699404443584,5,-1.0,1,3
-8.665694601186589,4,-1.0,1,3
-8.327196902039285,9,-1.0,1,3
-8.292919121042821,4,-1.0,1,3
-8.108594002426583,6,-1.0,1,3
-9.173532484565905,6,-1.0,2,0
-8.938010444494877,10,-1.0,2,0
-8.568125591828334,8,-1.0,2,0
-8.568125591799431,8,-1.0,2,0
-8.216374825427154,11,-1.0,2,0
-8.216374612260616,11,-1.0,2,0
-9.378844811886635,4,-1.0,2,1
-8.925314713159134,5,-1.0,2,1
-8.773134970884321,4,-1.0,2,1
-8.470093920349713,7,-1.0,2,1
-8.353907708136456,6,-1.0,2,1
-8.314000690219498,7,-1.0,2,1
-9.281007226993585,9,-1.0,2,2
-9.018501778798758,8,-1.0,2,2
-8.780615010716293,4,-1.0,2,2
-8.529905341541474,6,-1.0,2,2
-8.290334518874273,6,-1.0,2,2
-8.290333822393658,6,-1.0,2,2
-9.378844811886637,4,-1.0,2,3
-8.925314713155704,5,-1.0,2,3
-8.773134971322847,4,-1.0,2,3
-8.47009381196412,7,-1.0,2,3
-8.353906971186863,6,-1.0,2,3
-8.314003344689716,7,-1.0,2,3
-9.803824918335872,4,-1.0,3,0
-9.019694448956633,7,-1.0,3,0
-8.625245707660797,5,-1.0,3,0
-8.323043415687774,7,-1.0,3,0
-8.282488798305149,5,-1.0,3,0
-8.221406737815178,6,-1.0,3,0
-10.085233977550402,3,-1.0,3,1
-9.05369940444361,5,-1.0,3,1
-8.665694601192609,4,-1.0,3,1
-8.327196889617255,9,-1.0,3,1
-8.292919116074515,4,-1.0,3,1
-8.108592127313326,6,-1.0,3,1
-9.05354580208222,4,-1.0,3,2
-8.726409401891079,7,-1.0,3,2
-8.640008181832215,5,-1.0,3,2
-8.4729597193338,6,-1.0,3,2
-8.376491676730435,7,-1.0,3,2
-8.108806270130383,7,-1.0,3,2
-9.611976337788608,3,-1.0,3,3
-8.746773798431137,3,-1.0,3,3
-8.666528314537999,6,-1.0,3,3
-8.396407717450503,4,-1.0,3,3
-8.191988881134277,6,-1.0,3,3
-8.073725390778753,5,-1.0,3,3
-10.279913063051284,7,-2.0,0,0
-9.188988053607265,6,-2.0,0,0
-8.921246415480896,15,-2.0,0,0
-8.629080425822572,8,-2.0,0,0
-8.0770808142555,8,-2.0,0,0
-7.9738168060243275,9,-2.0,0,0
-9.17898440291393,8,-2.0,0,1
-8.647662210510813,7,-2.0,0,1
-7.870568548955136,8,-2.0,0,1
-7.838246007931261,8,-2.0,0,1
-7.780912192830318,8,-2.0,0,1
-7.409094442942866,8,-2.0,0,1
-8.995221515842415,7,-2.0,0,2
-8.995221515842399,7,-2.0,0,2
-8.539870155235882,8,-2.0,0,2
-7.998299684190326,11,-2.0,0,2
-7.667645424959706,7,-2.0,0,2
-7.667638605498911,7,-2.0,0,2
-9.178984402913901,8,-2.0,0,3
-8.647662210510727,7,-2.0,0,3
-7.870568549205737,8,-2.0,0,3
-7.838246008505403,8,-2.0,0,3
-7.780912191887716,8,-2.0,0,3
-7.409096601687622,8,-2.0,0,3
-9.12293657766915,9,-2.0,1,0
-8.545821448736008,8,-2.0,1,0
-8.01803800746147,8,-2.0,1,0
-7.728234497272436,10,-2.0,1,0
-7.699510084268323,9,-2.0,1,0
-7.191340982929731,9,-2.0,1,0
-8.77685923721488,9,-2.0,1,1
-8.137310711702444,8,-2.0,1,1
-7.837822667658594,9,-2.0,1,1
-7.754631801799,8,-2.0,1,1
-7.691675799187307,9,-2.0,1,1
-7.279049551161397,8,-2.0,1,1
-8.400654325149574,9,-2.0,1,2
-8.338378215098837,8,-2.0,1,2
-7.96924396197174,9,-2.0,1,2
-7.826795186887681,10,-2.0,1,2
-7.821377893418891,9,-2.0,1,2
-7.401026908630856,9,-2.0,1,2
-9.023321162149575,9,-2.0,1,3
-8.014730222192355,9,-2.0,1,3
-7.666925372993467,9,-2.0,1,3
-7.551398210714057,7,-2.0,1,3
-7.528872375625717,7,-2.0,1,3
-7.098726021336714,8,-2.0,1,3
-9.42508145455964,6,-2.0,2,0
-8.779167538186382,9,-2.0,2,0
-8.539053718333653,13,-2.0,2,0
-8.355278520352,15,-2.0,2,0
-8.00347094823611,8,-2.0,2,0
-8.003470483691363,8,-2.0,2,0
-8.690146956059374,7,-2.0,2,1
-8.293457528594832,9,-2.0,2,1
-8.170799964143372,8,-2.0,2,1
-7.82769007346827,8,-2.0,2,1
-7.651926582304928,9,-2.0,2,1
-7.4396763749506025,8,-2.0,2,1
-9.116141640388156,7,-2.0,2,2
